#,Title,Authors,Year,Journal,DOI,Tier,Citations,Open Access,Abstract
48,The Future of AI-Assisted Patient Education in Critical Care Nephrology,M. Salman Sheikh; Charat Thongprayoon; Supawadee Suppadungsuk; Jing Miao; Fawad Qureshi et al.,2024,Blood Purification,10.1159/000543350,tier3,2,No,"The integration of artificial intelligence (AI) in healthcare presents significant opportunities to enhance patient education, especially in areas as complex as acute kidney injury (AKI) and continuous renal replacement therapy (CRRT). Our study, “Evaluating ChatGPT’s accuracy in responding to patient education questions on acute kidney injury and continuous renal replacement therapy [1],” highlights this potential by focusing on ChatGPT 4.0’s consistently high performance across various questio"
49,The Future of Artificial Intelligence in Surgery,Allan J. Hamilton,2024,Cureus,10.7759/cureus.63699,tier2,20,Yes,"Until recently, innovations in surgery were largely represented by extensions or augmentations of the surgeon’s perception. This includes advancements such as the operating microscope, tumor fluorescence, intraoperative ultrasound, and minimally invasive surgical instrumentation. However, introducing artificial intelligence (AI) into the surgical disciplines represents a transformational event. Not only does AI contribute substantively to enhancing a surgeon’s perception with such methodologies "
50,The transition of surgical simulation training and its learning curve: a bibliometric analysis from 2000 to 2023,Jun Zhang; Zai Luo; Renchao Zhang; Zehao Ding; Yuan Fang et al.,2024,International Journal of Surgery,10.1097/js9.0000000000001579,tier2,24,Yes,"<h4>Background</h4>Proficient surgical skills are essential for surgeons, making surgical training an important part of surgical education. The development of technology promotes the diversification of surgical training types. This study analyzes the changes in surgical training patterns from the perspective of bibliometrics, and applies the learning curves as a measure to demonstrate their teaching ability.<h4>Method</h4>Related papers were searched in the Web of Science database using the foll"
51,"Towards Automatic Evaluation for LLMs' Clinical Capabilities: Metric, Data, and Algorithm",Lei Liu; Xiaoyan Yang; Fangzhou Li; Chenfei Chi; Yue Shen et al.,2024,arXiv (Cornell University),10.48550/arxiv.2403.16446,tier2,0,Yes,"Large language models (LLMs) are gaining increasing interests to improve clinical efficiency for medical diagnosis, owing to their unprecedented performance in modelling natural language. Ensuring the safe and reliable clinical applications, the evaluation of LLMs indeed becomes critical for better mitigating the potential risks, e.g., hallucinations. However, current evaluation methods heavily rely on labor-intensive human participation to achieve human-preferred judgements. To overcome this ch"
52,Trials and Tribulations: Responses of ChatGPT to Patient Questions About Kidney Transplantation,Jingzhi Xu; Michal Mankowski; Karen B. Vanterpool; Alexandra T. Strauss; Bonnie E. Lonze et al.,2024,Transplantation,10.1097/tp.0000000000005261,tier3,4,No,"Large language models (LLMs) such as chat generative pretrained transformer (ChatGPT) have introduced a new avenue for patients to acquire medical information.1-4 LLMs have the potential to facilitate interactions that closely resemble human communication, potentially making them attractive alternatives to conventional medical consultations or web search engines for medical information retrieval.1-5 However, the precision of medical advice offered by ChatGPT or other similar artificial intellige"
53,"Variational autoencoders for generative modeling of drug dosing determinants in renal, hepatic, metabolic, and cardiac disease states",Raginee R Titar; Murali Ramanathan,2024,Clinical and Translational Science,10.1111/cts.13872,tier2,7,Yes,"Physiological determinants of drug dosing (PDODD) are a promising approach for precision dosing. This study investigates the alterations of PDODD in diseases and evaluates a variational autoencoder (VAE) artificial intelligence model for PDODD. The PDODD panel contained 20 biomarkers, and 13 renal, hepatic, diabetes, and cardiac disease status variables. Demographic characteristics, anthropometric measurements (body weight, body surface area, waist circumference), blood (plasma volume, albumin),"
54,A Comparative Study on the Question-Answering Proficiency of Artificial Intelligence Models in Bladder-Related Conditions: An Evaluation of Gemini and ChatGPT 4.o,Mustafa Azizoğlu; Sergey Klyuev,2025,Medical Records,10.37990/medr.1601528,tier3,0,Yes,"Aim: The rapid evolution of artificial intelligence (AI) has revolutionized medicine, with tools like ChatGPT and Google Gemini enhancing clinical decision-making. ChatGPT's advancements, particularly with GPT-4, show promise in diagnostics and education. However, variability in accuracy and limitations in complex scenarios emphasize the need for further evaluation of these models in medical applications. This study aimed to assess the accuracy and agreement between ChatGPT 4.o and Gemini AI in "
55,"AI-driven robotic surgery in oncology: advancing precision, personalization, and patient outcomes",Jack Ng Kok Wah,2025,Journal of Robotic Surgery,10.1007/s11701-025-02555-3,tier3,9,Yes,"Artificial intelligence (AI) integrated with robotic systems is transforming oncologic surgery by significantly improving precision, safety, and personalization. The review critically explores the current landscape of AI-powered robotic technologies in tumor resection across various specialties, including urology, neurosurgery, orthopedics, pediatrics, and head and neck oncology. Despite rapid advancements, challenges remain in tumor boundary detection, real-time intraoperative navigation, motio"
56,AI-generated questions for urological competency assessment: a prospective educational study,Mert Başaranoğlu; Erdem Akbay; Erım Erdem,2025,BMC Medical Education,10.1186/s12909-025-07202-x,tier2,4,Yes,"<h4>Background</h4>The integration of artificial intelligence (AI) in medical education assessment remains largely unexplored, particularly in specialty-specific evaluations during clinical rotations. Traditional question development methods are time-intensive and often struggle to keep pace with evolving medical knowledge. This study evaluated the effectiveness of AI-generated questions in assessing urological competency among medical interns during a standardized clinical rotation.<h4>Methods<"
57,Adaptive Neuro-Fuzzy Inference System guided objective function parameter optimization for inverse treatment planning.,Cisternas Jiménez E; Yin FF,2025,,10.3389/frai.2025.1523390,tier2,0,Yes,Intensity-Modulated Radiation Therapy requires the manual adjustment to numerous treatment plan parameters (TPPs) through a trial-and-error process to deliver precise radiation doses to the target while minimizing exposure to surrounding healthy tissues. The goal is to achieve a dose distribution that adheres to a prescribed plan tailored to each patient. Developing an automated approach to optimize patient-specific prescriptions is valuable in scenarios where trade-off selection is uncertain an
58,Advanced chronic kidney disease coexisting with heart failure: navigating patients' management.,Zoccali C; Levin A; Mallamaci F; Giugliano R; De Caterina R,2025,,10.1093/ckj/sfaf128,tier2,2,Yes,"Chronic kidney disease (CKD) and heart failure (HF) are interrelated, mutually exacerbating conditions. HF in patients with moderate to severe CKD poses unique clinical problems. Indeed, considerations related to specific concomitant derangements, such as vascular calcification, inflammation, and proteinuria, inform and demand personalized treatment strategies. Pharmacological interventions, including renin-angiotensin system antagonists, sodium-glucose cotransporter 2 (SGLT2) inhibitors and nov"
59,Application of AI Communication Training Tools in Medical Undergraduate Education: Mixed Methods Feasibility Study Within a Primary Care Context.,Chris Jacobs; Hans Johnson; Nina Tan; Kirsty Brownlie; Richard Joiner et al.,2025,JMIR medical education,10.2196/70766,tier3,3,No,"<h4>Background</h4>Effective communication is fundamental to high-quality health care delivery, influencing patient satisfaction, adherence to treatment plans, and clinical outcomes. However, communication skills training for medical undergraduates often faces challenges in scalability, resource allocation, and personalization. Traditional methods, such as role-playing with standardized patients, are resource intensive and may not provide consistent feedback tailored to individual learners' need"
60,Application of Artificial Intelligence Communication Training Tools in Medical Undergraduate Education: mixed methods feasibility study within a Primary Care Context (Preprint),Chris Jacobs; Hans Johnson; Nina Tan; Kirsty Brownlie; Richard Joiner et al.,2025,,10.2196/preprints.70766,tier3,0,Yes,"<sec> <title>BACKGROUND</title> Effective communication is fundamental to high-quality healthcare delivery, influencing patient satisfaction, adherence to treatment plans, and clinical outcomes. However, communication skills training for medical undergraduates often faces challenges in scalability, resource allocation, and personalization. Traditional methods, such as role-playing with standardized patients, are resource-intensive and may not provide consistent feedback tailored to individual le"
61,Applications and Challenges of Artificial Intelligence in Oncologic Surgical Education,Jorge Buele; Jairo Terán-Albuja; Anthony Gutiérrez-Martínez,2025,International Journal of Online and Biomedical Engineering (iJOE),10.3991/ijoe.v21i10.55925,tier3,0,Yes,"Surgical training faces significant challenges due to the technical complexity of procedures and the imperative to ensure patient safety during the learning process. In this context, artificial intelligence (AI), machine learning, and robotic platforms are transforming traditional models of surgical education. This paper presents a narrative overview of the impact of these tools on oncologic surgical training. The reviewed evidence indicates that artificial intelligence contributes to improved c"
62,Apport de l'intelligence artificielle générative pour développer les compétences techniques et relationnelles en formation vétérinaire : exemple à partir d'un cas clinique,Firmin Fendrich,2025,HAL (Le Centre pour la Communication Scientifique Directe),,tier3,0,No,The objective of this work is to explore the pedagogical potential of Generative Artificial Intelligence (GAI) in veterinary education by developing an interactive learning module that allows students to practice not only their theoretical knowledge but also their communication skills. The module focuses on a common condition in feline medicine: an episode of acute kidney injury (AKI) on a background of chronic kidney disease (CKD). The first part is a literature review. It presents on the one h
63,Artificial Intelligence Assistance in Point-of-Care Ultrasound Skill Retention for Novice Users in Space Medicine Scenarios.,Hurd VS; Valle MD; Kravets VG; Anderson AL; Le NN et al.,2025,,10.1177/10806032241304441,tier2,0,No,"IntroductionAs humanity progresses further into space, astronauts must be increasingly independent from mission control, especially in high-consequence medical scenarios. The high-utility and low-mass nature of point-of-care ultrasound (POCUS) makes this imaging modality ideal for spaceflight mission deployment. However, POCUS operator skill degrades over time, presenting an operational barrier to continuous, effective use. Further, formal medical education and POCUS-specific training are not re"
64,Artificial Intelligence as a Discriminator of Competence in Urological Training: Are We There?,Naji J Touma; Ruchit Patel; Thomas Skinner; Michael Leveridge,2025,The Journal of urology,10.1097/ju.0000000000004357,tier2,2,No,<h4>Purpose</h4>Assessments in medical education play a central role in evaluating trainees' progress and eventual competence. Generative artificial intelligence is finding an increasing role in clinical care and medical education. The objective of this study was to evaluate the ability of the large language model ChatGPT to generate examination questions that are discriminating in the evaluation of graduating urology residents.<h4>Materials and methods</h4>Graduating urology residents represent
65,Artificial Intelligence in Gastrointestinal Surgery: A Systematic Review of Its Role in Laparoscopic and Robotic Surgery,L. Gorini; Roberto de la Plaza Llamas; Daniel Alejandro Díaz Candelas; Rodrigo Arellano González; Wenzhong Sun et al.,2025,Journal of Personalized Medicine,10.3390/jpm15110562,tier3,1,Yes,"<b>Background</b>: Artificial intelligence (AI) is transforming surgical practice by enhancing training, intraoperative guidance, decision-making, and postoperative assessment. However, its specific role in laparoscopic and robotic general surgery remains to be clearly defined. The objective is to systematically review the current applications of AI in laparoscopic and robotic general surgery and categorize them by function and surgical context. <b>Methods</b>: A systematic search of PubMed and "
66,"Artificial Intelligence in Renal Transplantation Over the Past Decade: A Narrative Review of Clinical Applications, Current Limitations, and Future Directions",Ahmed Anber; Youssef Mohamed; Aryan Maleki; Sami Atiq; Larisa Radu et al.,2025,Cureus,10.7759/cureus.100134,tier2,0,Yes,"This narrative review examines the use of artificial intelligence (AI) and machine learning (ML) in kidney transplantation (KT) during the past 10 years, highlighting advancements in clinical applications and future potential. In pretransplant settings, AI algorithms assist in matching donors with recipients and predicting survival outcomes, aiming to reduce organ discard rates and improve allocation efficiency beyond traditional scoring systems like the Kidney Donor Profile Index. Surgical data"
67,Artificial Intelligence in Surgical Training and Applications to Otolaryngology: A Scoping Review.,Jenny Xiao; Nikolaus E Wolter; Joel C Davies; Evan J Propst; Matthew G Crowson et al.,2025,The Laryngoscope,10.1002/lary.32246,tier2,0,No,"<h4>Objective</h4>Traditional evaluations of surgical skills in otolaryngology rely heavily on subjective assessments, which are prone to variability and bias. This study aims to examine advancements in artificial intelligence (AI) applications for surgical skills evaluation with a focus on their potential to enhance otolaryngology education.<h4>Data sources</h4>A systematic search of MEDLINE, Embase, Cochrane Database of Systematic Reviews, and Google Scholar was conducted using search terms re"
68,Assessing the quality and guideline-concordance of AI-powered chatbots in nutritional management of diabetes.,Maryame Ben Lafqih; Faiçal Ait Lahbib; Kaltoum Boutahar; Hanane Azargui; Rachid Elfatimy et al.,2025,Diabetes & metabolic syndrome,10.1016/j.dsx.2025.103355,tier2,0,No,"<h4>Aims</h4>This study assessed the performance of ChatGPT and Gemini in delivering evidence-based, personalized dietary recommendations for diabetes management.<h4>Methods</h4>Fifty-two simulated patient cases covering nine diabetes-related categories were analyzed. We evaluated nutritional recommendations from ChatGPT and Gemini using the Analytic Hierarchy Process (AHP), focusing on clinical relevance, alignment with guidelines, personalization, and practicality. Chatbot performance was comp"
69,Benchmarking ChatGPT and Other Large Language Models for Personalized Stage-Specific Dietary Recommendations in Chronic Kidney Disease.,Makpal Kairat; Gulnoza Adilmetova; Ilvira Ibraimova; Abduzhappar Gaipov; Huseyin Atakan Varol et al.,2025,Journal of clinical medicine,10.3390/jcm14228033,tier2,0,No,"<b>Background</b>: Chronic kidney disease (CKD) requires strict dietary management tailored to disease stage and individual needs. Recent advances in artificial intelligence (AI) have introduced chatbot-based tools capable of generating dietary recommendations. However, their accuracy, personalization, and practical applicability in clinical nutrition remain largely unvalidated, particularly in non-Western settings. <b>Methods</b>: Simulated patient profiles representing each CKD stage were deve"
70,"Cognitive alignment in cardiovascular AI: designing predictive models that think with, not just for, clinicians",Jeena Joseph; K. Kartheeban,2025,Frontiers in Cardiovascular Medicine,10.3389/fcvm.2025.1651324,tier3,0,Yes,"Introduction Artificial intelligence (AI) is emerging as a major driver of clinical innovation, with cardiovascular disease (CVD) prediction being one of its most active areas of application (Karatzia et al., 2022; Ashraf and Sultana, 2024). In recent years, hospitals, research centers, and health-technology companies have reported machine learning models achieving accuracy levels of 90%, 95%, or even higher for predicting heart attacks, arrhythmias, and other cardiovascular events, with concret"
71,Comparative Evaluation of Large Language Models for Medical Education: Performance Analysis in Urinary System Histology.,Anikó Szabó; Ghasem Dolatkhah Laein,2025,,10.21203/rs.3.rs-6186253/v1,tier2,0,Yes,"<title>Abstract</title>  <p>Large language models (LLMs) show potential for medical education, but their domain-specific capabilities need systematic evaluation. This study presents a comparative assessment of thirteen LLMs in urinary system histology education. Using a multi-dimensional framework, we evaluated models across two tasks: answering 65 validated multiple-choice questions (MCQs) and generating clinical scenarios with assessment items. For MCQ performance, we assessed accuracy along w"
72,Comparative analysis of ChatGPT and Gemini (Bard) in medical inquiry: a scoping review.,Fattah FH; Salih AM; Salih AM; Asaad SK; Ghafour AK et al.,2025,,10.3389/fdgth.2025.1482712,tier2,17,Yes,"<h4>Introduction</h4>Artificial intelligence and machine learning are popular interconnected technologies. AI chatbots like ChatGPT and Gemini show considerable promise in medical inquiries. This scoping review aims to assess the accuracy and response length (in characters) of ChatGPT and Gemini in medical applications.<h4>Methods</h4>The eligible databases were searched to find studies published in English from January 1 to October 20, 2023. The inclusion criteria consisted of studies that focu"
73,Comparative evaluation of large language models performance in medical education using urinary system histology assessment,Anikó Szabó; Ghasem Dolatkhah Laein,2025,Scientific Reports,10.1038/s41598-025-17571-4,tier2,2,Yes,"Large language models (LLMs) show potential for medical education, but their domain-specific capabilities need systematic evaluation. This study presents a comparative assessment of thirteen LLMs in urinary system histology education. Using a multi-dimensional framework, we evaluated models across two tasks: answering 65 validated multiple-choice questions (MCQs) and generating clinical scenarios with assessment items. The two tasks operationalize distinct constructs and were analyzed independen"
74,Current Applications and Limitations of Augmented Reality in Urological Surgery: A Practical Primer and 'State of the Field'.,Wang VL; Cheng LG; Zhu TS; Patnaik S; Tarin T,2025,,10.1007/s11934-025-01283-3,tier2,0,No,"<h4>Purpose of review</h4>To provide a primer for how augmented reality (AR)-guided surgical technology works at a fundamental level and discuss recent advances and limitations in a rapidly advancing field, including studies aiming to reduce current issues limiting wider adoption.<h4>Recent findings</h4>Among the studies published within the last five years, AR-guided technologies have advanced from pre-operative planning to intraoperative use in procedures including robot-assisted radical prost"
75,Evaluating AI performance in nephrology triage and subspecialty referrals,Priscilla Koirala; Charat Thongprayoon; Jing Miao; Oscar A. Garcia Valencia; M. Salman Sheikh et al.,2025,Scientific Reports,10.1038/s41598-025-88074-5,tier3,9,Yes,"Artificial intelligence (AI) has shown promise in revolutionizing medical triage, particularly in the context of the rising prevalence of kidney-related conditions with the aging global population. This study evaluates the utility of ChatGPT, a large language model, in triaging nephrology cases through simulated real-world scenarios. Two nephrologists created 100 patient cases that encompassed various aspects of nephrology. ChatGPT's performance in determining the appropriateness of nephrology c"
76,Evolution of Artificial Intelligence in Medical Education From 2000 to 2024: Bibliometric Analysis.,Li R; Wu T,2025,,10.2196/63775,tier3,4,Yes,"BACKGROUND Incorporating artificial intelligence (AI) into medical education has gained significant attention for its potential to enhance teaching and learning outcomes. However, it lacks a comprehensive study depicting the academic performance and status of AI in the medical education domain. OBJECTIVE This study aims to analyze the social patterns, productive contributors, knowledge structure, and clusters since the 21st century. METHODS Documents were retrieved from the Web of Science Core C"
77,External validation of a motion capture-based surgical skill assessment system in laparoscopic simulation training environments.,Ebina K; Abe T; Hotta K; Lingbo Y; Kamijo C et al.,2025,,10.1007/s00464-025-12018-3,tier2,2,Yes,"<h4>Purpose</h4>To externally validate our surgical skill assessment system, which provides comprehensive real-time feedback based on motion capture (Mocap) metrics of laparoscopic instruments in simulation training environments.<h4>Methods</h4>Participants conducted periaortic tissue dissection (Dissection Task) and parenchymal closure of the kidney (Suturing Task) using porcine cadaveric organs. Surgical instrument movements were measured by the MoCap system, and all training sessions were vid"
78,Future Designs of Clinical Trials in Nephrology: Integrating Methodological Innovation and Computational Power,Pesce F.; Strizzi C. T.,2025,MDPI,10.3390/s25164909,tier2,0,Yes,"Highlights What are the main findings? Clinical research in nephrology faces persistent challenges that can be addressed by combining two key innovation streams: advanced trial methodologies (like adaptive and pragmatic designs) and powerful computational tools, including Artificial Intelligence (AI) and in silico clinical trials (ISCTs). Specific computational tools are emerging that may offer targeted solutions. For example, Augmented Reality (AR) shows promise for enhancing the precision of i"
79,Generative Artificial Intelligence in Medical Education : A Multi-Database Bibliometric Analysis,Mingxia Pan,2025,OSF Registries,10.17605/osf.io/p67a4,tier3,0,Yes,"Medical education, as a specialized educational framework for cultivating healthcare professionals, embodies a core mission centered on the systematic integration of theoretical instruction, clinical practice, and professional competency development, aimed at fostering evidence-based clinical decision-making capabilities among medical students [1]. Against the backdrop of accelerating global population aging and profound epidemiological transitions, high-quality medical education serves not only"
80,How Accurate Is AI? A Critical Evaluation of Commonly Used Large Language Models in Responding to Patient Concerns About Incidental Kidney Tumors,Bernhard Ralla; Nadine Biernath; Isabel Lichy; Lukas Kurz; Frank Friedersdorff et al.,2025,Journal of Clinical Medicine,10.3390/jcm14165697,tier2,3,Yes,"<b>Background:</b> Large language models (LLMs) such as ChatGPT, Google Gemini, and Microsoft Copilot are increasingly used by patients seeking medical information online. While these tools provide accessible and conversational explanations, their accuracy and safety in emotionally sensitive scenarios-such as an incidental cancer diagnosis-remain uncertain. <b>Objective:</b> To evaluate the quality, completeness, readability, and safety of responses generated by three state-of-the-art LLMs to co"
81,Integrating Artificial Intelligence and Virtual Reality in Orthopedic Surgery: A Comprehensive Review,Robert Koucheki; Johnathan R. Lex; Michael Brock; Danny P. Goel,2025,HSS Journal® The Musculoskeletal Journal of Hospital for Special Surgery,10.1177/15563316251345479,tier3,4,Yes,"Artificial intelligence (AI) and virtual reality (VR) are being used in orthopedic surgery, with goals of enhancing surgical precision, trainee education, patient engagement, and personalized surgical strategies. AI-based predictive modeling, automated computer vision and image analytics, and robotic surgery are changing orthopedic preoperative planning and intraoperative decision-making, with the ultimate aim of improving postoperative outcomes through reduced variability in surgery. VR technol"
82,Is AI the future of evaluation in medical education?? AI vs. human evaluation in objective structured clinical examination,Murat Tekïn; Mustafa Onur Yurdal; Çetin Toraman; Güneş Korkmaz; İbrahim Uysal,2025,BMC Medical Education,10.1186/s12909-025-07241-4,tier3,20,Yes,"<h4>Background</h4>Objective Structured Clinical Examinations (OSCEs) are widely used in medical education to assess students' clinical and professional skills. Recent advancements in artificial intelligence (AI) offer opportunities to complement human evaluations. This study aims to explore the consistency between human and AI evaluators in assessing medical students' clinical skills during OSCE.<h4>Methods</h4>This cross-sectional study was conducted at a state university in Turkey, focusing o"
83,"Models and Metrics for Medical Education in Urology: Medical Student Education, Resident Education, and Future Directions.",Lakshay Khosla; Kayla M Keenan; Jay D Raman,2025,Current urology reports,10.1007/s11934-025-01308-x,tier2,0,No,"PURPOSE OF REVIEW: The purpose of this review is to characterize contemporary models and metrics for medical education in Urology. RECENT FINDINGS: Innovative models involve using augmented reality and 3D-printing to enhance stimulation-based training; these are cost-effective and improve surgical skill metrics. Virtual didactics are preferred since they offer flexible self-paced learning. Structured frameworks (e.g., PREDICT, GAPS) increase graduated autonomy without negative impact on patient "
84,Non-technical Skills for Urology Trainees: A Double-Blinded Study of ChatGPT4 AI Benchmarking Against Consultant Interaction.,Matthew Pears; Karan Wadhwa; Stephen R Payne; Vishwanath Hanchanale; Mamoun Hamid Elmamoun et al.,2025,Journal of healthcare informatics research,10.1007/s41666-024-00180-7,tier3,4,No,"Non-technical skills (NTS) are crucial in healthcare, encompassing cognitive and social skills that support technical ability. Traditional NTS training is evolving with the emergence of artificial intelligence (AI) models that can intelligently converse with their users, known as large language models (LLMs). This study investigated the capabilities and limitations of a popular model named generative pre-trained transformer 4 (GPT-4) in NTS training, comparing its performance to that of human ev"
85,Optimizing Federated Learning Configurations for MRI Prostate Segmentation and Cancer Detection: A Simulation Study.,Ashkan Moradi; F. Zerka; J. Bosma; M. Sunoqrot; Bendik S Abrahamsen et al.,2025,Radiology: Artificial Intelligence,10.1148/ryai.240485,tier2,5,No,"""Just Accepted"" papers have undergone full peer review and have been accepted for publication in Radiology: Artificial Intelligence. This article will undergo copyediting, layout, and proof review before it is published in its final version. Please note that during production of the final copyedited article, errors may be discovered which could affect the content. Purpose To develop and optimize a federated learning (FL) framework across multiple clients for biparametric MRI prostate segmentatio"
86,Patient consent in the modern era: Novel tools and practical considerations in urology.,Ogbodo E; Talyshinskii A; Moen CA; Emiliani E; Somani BK et al.,2025,,10.1097/cu9.0000000000000282,tier2,1,Yes,"Informed consent is a cornerstone of ethically acceptable surgical interventions. Traditional methods primarily rely on verbal explanations by clinicians and, at times, the use of supplementary resources such as information leaflets. In the modern era, novel tools have emerged to facilitate and enhance the consent process. Examples include multimedia, 3D models, virtual and augmented reality, quick response codes, and artificial intelligence technologies such as large language models. This narra"
87,Performance of Retrieval-Augmented Generation Large Language Models in Guideline-Concordant Prostate-Specific Antigen Testing: Comparative Study With Junior Clinicians.,Joshua Yi Min Tung; Quan Le; Jinxuan Yao; Yifei Huang; Daniel Yan Zheng Lim et al.,2025,Journal of medical Internet research,10.2196/78393,tier3,0,No,"<h4>Background</h4>Prostate-specific antigen (PSA) testing remains the cornerstone of early prostate cancer detection. Society guidelines for prostate cancer screening via PSA testing serve to standardize patient care and are often used by trainees, junior staff, or generalist medical practitioners to guide medical decision-making. However, adherence to guidelines is a time-consuming and challenging task, and rates of inappropriate PSA testing are high. Retrieval-augmented generation (RAG) is a "
88,Quality of Chatbot Information Related to Benign Prostatic Hyperplasia.,Christopher J Warren; Nicolette G Payne; Victoria S Edmonds; Sandeep S Voleti; Mouneeb M Choudry et al.,2025,The Prostate,10.1002/pros.24814,tier2,7,No,"<h4>Background</h4>Large language model (LLM) chatbots, a form of artificial intelligence (AI) that excels at prompt-based interactions and mimics human conversation, have emerged as a tool for providing patients with information about urologic conditions. We aimed to examine the quality of information related to benign prostatic hyperplasia surgery from four chatbots and how they would respond to sample patient messages.<h4>Methods</h4>We identified the top three queries in Google Trends relate"
89,Risks and benefits of ChatGPT in informing patients and families with rare kidney diseases: an explorative assessment by the European Rare Kidney Disease Reference Network (ERKNet).,Albertien M van Eerde; Ana Teixeira; Flavia Galletti; Michal Maternik; Valentina Capone et al.,2025,"Pediatric nephrology (Berlin, Germany)",10.1007/s00467-025-06746-w,tier2,0,No,"<title>Abstract</title>  <p><bold>Background:</bold> Rare diseases affect fewer than 1 in 2,000 individuals, but approximately 150 rare kidney diseases account for about 10% of the chronic kidney disease (CKD) population, impacting millions across Europe and globally. The scarcity of medical experts for these conditions results in an unmet need for accurate and helpful patient information. Large language models like ChatGPT may offer a technological solution to assist medical professionals in ed"
90,Robotic-assisted colorectal surgery in colorectal cancer management: a narrative review of clinical efficacy and multidisciplinary integration,Engeng Chen; Li Chen; Wei Zhang,2025,Frontiers in Oncology,10.3389/fonc.2025.1502014,tier2,13,Yes,"Colorectal cancer (CRC) remains a formidable global health challenge, ranking among the most prevalent malignancies and a principal contributor to cancer-associated mortality. While traditional open surgery has historically been the cornerstone of CRC treatment, the advent of minimally invasive techniques, particularly robotic-assisted colorectal surgery (RACS), has garnered significant momentum owing to technological advancements in the field. Robotic platforms, exemplified by the da Vinci Surg"
91,Simulation-based training in minimally invasive surgical therapies (MIST): current evidence and future directions for artificial intelligence integration-a systematic review by EAU endourology.,Carlotta Nedbal; Vineet Gauhar; Thomas Herrmann; Abhishek Singh; Ali Talyshinskii et al.,2025,World journal of urology,10.1007/s00345-025-05834-8,tier2,1,No,"<h4>Introduction</h4>Benign prostatic hyperplasia (BPH) affects a growing proportion of the aging male population. Minimally invasive surgical therapies (MISTs) such as Rezum and UroLift offer effective alternatives to traditional approaches like transurethral resection of the prostate (TURP). However, training in these procedures is challenged by limited case exposure and variability across residency programs. Simulation-based training has emerged as a valuable tool to enhance surgical educatio"
92,The Emerging Role of Multimodal Artificial Intelligence in Urological Surgery,Leonhard Buck; Jakob Kohler; Julian Risch; Reha‐Baris Incesu; Konrad Hügelmann et al.,2025,Current Oncology,10.3390/curroncol32120665,tier3,3,Yes,"<h4>Background</h4>Multimodal artificial intelligence (MMAI) is transforming urological oncology by enabling the seamless integration of diverse data sources, including imaging, clinical records and robotic telemetry to facilitate patient-specific decision-making.<h4>Methods</h4>This narrative review summarizes the current developments, applications, opportunities and risks of multimodal AI systems throughout the entire perioperative process in uro-oncologic surgery.<h4>Results</h4>MMAI demonstr"
93,The evolution of surgical skills simulation education: Robotic skills.,Hatcher AJ; Beneville BT; Awad MM,2025,,10.1016/j.surg.2025.109173,tier2,7,No,"Robotic surgery is now widely used after the introduction and increase in popularity of the da Vinci Xi Surgical System 25 years ago. Starting with urology, it has expanded into most major surgical specialties, with millions of robotic operations performed each year. With this growth comes the need to educate and train surgeons on its use. Robotic surgery introduces unique cognitive, psychomotor, and team-based skills not used in open and laparoscopic techniques. These demand creation of curricu"
94,The feasibility of using generative artificial intelligence for history taking in virtual patients.,Yi Y; Kim KJ,2025,,10.1186/s13104-025-07157-8,tier2,22,Yes,"<h4>Objective</h4>This study aimed to design and develop a virtual patient program using generative Artificial Intelligence (AI) technology, providing medical students opportunities to practice history-taking with a chatbot. We evaluated the feasibility of this approach by analyzing the quality of responses generated by the chatbot.<h4>Results</h4>Five expert reviewers participated in a pilot test, interacting with the chatbot to take the history of a patient presenting with a urinary problem us"
95,"The precision revolution: artificial intelligence, robotic surgery, and the future of medicine",Anna Trinidad Borràs; Diego Benavent,2025,Exploration of Digital Health Technologies,10.37349/edht.2025.101162,tier3,0,Yes,"Medicine is undergoing a deep technological transformation, with surgery on the cusp of this change, as technologies such as artificial intelligence (AI), augmented reality (AR), real-time imaging, and robotics converge to transform operative care. These innovations are now progressively being integrated into practice, driving precision surgery closer to reality. We aimed to assess how the convergence of AI, AR, real-time imaging, and robotics is advancing precision surgery and to outline the ne"
96,Training and Assessing Teamwork in Interprofessional Virtual Reality-Based Simulation Using the TeamSTEPPS Framework: Protocol for Randomized Pre-Post Intervention Study.,Lehmann M; Mikulasch J; Poimann H; Backhaus J; König S et al.,2025,,10.2196/68705,tier3,1,Yes,"<h4>Background</h4>Interprofessional teamwork is essential for patient outcomes in emergency medicine; yet, effective training in this area is scarce. Virtual reality (VR) provides a promising, resource-efficient solution for simulating emergency scenarios and facilitating interprofessional collaboration. While VR-based training has shown benefits for medical skill and knowledge acquisition, assessing teamwork within such environments remains a challenge due to the lack of validated measurement "
97,"Transforming Surgical Training With AI Techniques for Training, Assessment, and Evaluation: Scoping Review.",Escobar-Castillejos D; Barrera-Animas AY; Noguez J; Magana AJ; Benes B,2025,,10.2196/58966,tier2,1,Yes,"<h4>Background</h4>Artificial intelligence (AI) has introduced novel opportunities for assessment and evaluation in surgical training, offering potential improvements that could surpass traditional educational methods.<h4>Objective</h4>This scoping review examines the integration of AI in surgical training, assessment, and evaluation, aiming to determine how AI technologies can enhance trainees' learning paths and performance by incorporating data-driven insights and predictive analytics. In add"
